crew,return,title,release_date,budget,revenue
J.B. Rogers,0,Demoted,2011-03-12,0.0,0.0
Basil Wrangell,0,Gabriel Over the White House,1933-03-31,0.0,0.0
Arthur Wong,0,My Lucky Stars,1985-02-10,0.0,0.0
Luc Besson,0.7986775833333334,District B13,2004-11-09,12000000.0,9584131.0
R. Kelly,0,Trapped in the Closet: Chapters 1-12,2005-11-01,0.0,0.0
Louis DiGiaimo,0.0,Blueberry,2004-02-09,53000000.0,0.0
Nagisa Ōshima,0,The Christian Revolt,1962-03-21,0.0,0.0
Corrado Farina,0,They Have Changed Their Face,1971-07-02,0.0,0.0
Luc Besson,1.11627195,The Messenger: The Story of Joan of Arc,1999-10-18,60000000.0,66976317.0
Stephen E. Rivkin,0.5698736518518519,Stealth,2005-07-28,135000000.0,76932943.0
Sonja Rom,0,Attack Force,2006-12-05,0.0,0.0
John Erman,0,Scarlett,1994-11-13,0.0,0.0
Darren Lynn Bousman,0.0,The Devil's Carnival,2012-04-05,500000.0,0.0
Justine Baddeley,0.0,Get Over It,2001-03-08,10000000.0,0.0
Sylvie Landra,0,Avenue Montaigne,2006-02-15,0.0,0.0
Debra Zane,0.87204,Dragonfly,2002-02-22,60000000.0,52322400.0
Bernard Miles,0,Thunder Rock,1942-12-04,0.0,0.0
Harold S. Bucquet,0,The War Against Mrs. Hadley,1942-08-07,0.0,0.0
Suzanne Smith,0,Lola Versus,2012-04-24,0.0,252603.0
John Davis,4.4644658,When a Stranger Calls,2006-02-03,15000000.0,66966987.0
Adi Lavy,0.0,Sun Kissed,2012-06-01,300000.0,0.0
Robert Rodriguez,4.226690857142857,Spy Kids,2001-03-18,35000000.0,147934180.0
Travis Zariwny,0.0,The Kill Hole,2012-08-28,300000.0,0.0
Brian A Miller,0.0,Officer Down,2013-01-22,12000000.0,0.0
Stephen R. Brown,0,Room 6,2006-01-01,0.0,0.0
Stanley Kubrick,0.0,Killer's Kiss,1955-09-21,75000.0,0.0
William Roth,0,Floating,1999-10-08,0.0,0.0
John F. Link,1.7966281666666666,The Three Musketeers,1993-11-11,30000000.0,53898845.0
Bohuslav Srámek,0,The Hand,1965-10-26,0.0,0.0
Tero Molin,0,The Book of Fate,2003-03-06,0.0,0.0
Avy Kaufman,1.1610632,Get Rich or Die Tryin',2005-11-09,40000000.0,46442528.0
Gregg Toland,0,December 7th,1943-01-01,0.0,0.0
John Carpenter,0.8455473,Escape from L.A.,1996-08-09,50000000.0,42277365.0
Johnny Breedt,0,The Breed,2006-05-17,0.0,1675484.0
Roy Del Ruth,0,Always Leave Them Laughing,1949-11-26,0.0,0.0
,0,Counting Backwards,2007-01-01,0.0,0.0
Andreas Grosch,0,Edison,2005-07-29,0.0,0.0
Michael Bay,5.686691105263158,The Amityville Horror,2005-04-15,19000000.0,108047131.0
Malcolm Arnold,0,Four Sided Triangle,1953-06-15,0.0,0.0
Robert Zemeckis,1.719153025,House of Wax,2005-04-30,40000000.0,68766121.0
Eddie Romero,0,Terror Is a Man,1959-11-01,0.0,0.0
Victor Macias,0,Shark Swarm,2008-01-01,0.0,0.0
Jeanne McCarthy,1.22225832,The Shaggy Dog,2006-03-09,50000000.0,61112916.0
William O. Brown,0,The Witchmaker,1969-05-01,0.0,0.0
Tom Rolf,0.39623070588235293,Nine 1/2 Weeks,1986-02-14,17000000.0,6735922.0
Dibakar Banerjee,0,Shanghai,2012-06-08,0.0,0.0
John Hyams,0.0,Dragon Eyes,2012-05-10,3000000.0,0.0
Bruton Jones,3.011677222222222,Stay Alive,2006-03-24,9000000.0,27105095.0
Ben Affleck,0,Feast,2005-10-14,0.0,658573.0
Lisa Beach,0,The Brothers Solomon,2007-09-07,0.0,0.0
Chuck Russell,8.9586444,A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,5000000.0,44793222.0
Arnon Milchan,2.4274213,Date Movie,2006-02-17,20000000.0,48548426.0
Trevor Rabin,0,Hot Rod,2007-08-03,0.0,14334401.0
Douglas Sirk,0,Hitler's Madman,1943-06-10,0.0,0.0
Kevin Phipps,0,Blood and Chocolate,2007-01-26,0.0,0.0
Sylvie Landra,0.0748705,A Sound of Thunder,2005-05-15,80000000.0,5989640.0
Robert Hartford-Davis,0,The Black Torment,1964-10-19,0.0,0.0
D.A. Pennebaker,0,Company: Original Cast Album,1970-01-01,0.0,0.0
Scott Kroopf,0,Magicians,2007-05-18,0.0,1752038.0
Aleksey German,0,"Khrustalyov, My Car!",1998-05-20,0.0,0.0
Sarik Andreasyan,2.484567,That still Karloson!,2012-03-15,4000000.0,9938268.0
Ermanno Olmi,0,"Walking, Walking",1983-05-12,0.0,0.0
Jack Hofstra,0,The Principal,1987-09-18,0.0,0.0
Carlo Rambaldi,0,The Laughing Woman,1969-08-24,0.0,0.0
Robert Greenwald,0,Koch Brothers Exposed,2012-03-07,0.0,0.0
Glenn Tryon,0,Nazty Nuisance,1943-08-06,0.0,0.0
Christian Foster,0,Chely Wright: Wish Me Away,2011-06-22,0.0,0.0
,0,This is What Love in Action Looks Like,2011-01-28,0.0,0.0
William Hoy,2.367301,No Way Out,1987-08-14,15000000.0,35509515.0
Mathieu Oullion,0,Radiostars,2012-04-11,0.0,0.0
Jason Todd Ipson,0,Unrest,2006-10-22,0.0,0.0
Benoît Poelvoorde,0,Man Bites Dog,1992-05-01,0.0,0.0
Maria Djurkovic,0,Man to Man,2005-04-13,0.0,0.0
Giuliano Montaldo,0,Closed Circuit,1978-01-01,0.0,0.0
Charles Band,0,Evil Bong,2006-10-31,0.0,0.0
Merritt B. Gerstad,0.0,The Mayor of Hell,1933-06-24,229.0,0.0
Bavo Defurne,0,North Sea Texas,2011-03-16,0.0,0.0
Danny DeVito,2.0342161,Reno 911!: Miami,2007-02-23,10000000.0,20342161.0
Vernon L. Walker,0,Tender Comrade,1943-12-29,0.0,0.0
Zheng Jun-Li,0,Crows and Sparrows,1949-01-01,0.0,0.0
Fern Champion,10.047674,Cry_Wolf,2005-09-16,1000000.0,10047674.0
Asako Hyuga,0,Way of Blue Sky,2005-09-17,0.0,0.0
Avy Kaufman,0.7994676,The Return,2006-11-10,15000000.0,11992014.0
Tim Bevan,0,Gone,2006-10-26,0.0,0.0
Don Burgess,2.6069107297297296,13 Going on 30,2004-04-13,37000000.0,96455697.0
John Boorman,0,The Tiger's Tail,2006-09-26,0.0,0.0
Colin Nutley,0,Deadline,2001-10-24,0.0,0.0
Jason Alexander,0.0,Just Looking,1999-10-21,3000000.0,0.0
Charlie Chaplin,10.0,The Kid,1921-01-21,250000.0,2500000.0
Luc Besson,2.830310875,Leon: The Professional,1994-09-14,16000000.0,45284974.0
Marianne Slot,0,Liverpool,2008-10-30,0.0,0.0
Vincent Malle,0,La Grande Bouffe,1973-05-16,0.0,0.0
Wilson Chin,0,I Love Hong Kong 2012,2012-01-20,0.0,0.0
Herschell Gordon Lewis,0,The Alley Tramp,1968-06-12,0.0,0.0
Philip Lee,0,Windstruck,2004-06-03,0.0,5331377.0
Nathan H. Juran,0,The Golden Blade,1953-08-11,0.0,0.0
Lawrence Bagby,0.0,Saints and Soldiers,2003-09-11,780000.0,0.0
Inon Shampanier,0,The Millionaire Tour,2012-07-31,0.0,0.0
Mike Werb,0,Firehouse Dog,2007-04-04,0.0,0.0
Wilson Yip,0,The White Dragon,2004-10-28,0.0,0.0
Steven Spielberg,0.6353913142857143,Empire of the Sun,1987-12-09,35000000.0,22238696.0
David M. Thompson,0,Confetti,2006-05-05,0.0,0.0
Wolfgang Reitherman,13.91881425,The Aristocats,1970-12-23,4000000.0,55675257.0
Miao Wang,0,Beijing Taxi,2011-06-25,0.0,0.0
Steven Spielberg,0,Class of '61,1993-04-12,0.0,0.0
