title,cast,return
Toy Soldiers,Sean Astin,0
Old Men in New Cars: In China They Eat Dogs II,Kim Bodnia,0
Saippuaprinssi,Pamela Tola,0.0
Police Story 2,Jackie Chan,0
A Short Film About Killing,Mirosław Baka,0
Chori Chori Chupke Chupke,Salman Khan,0
The Haunted Mansion,Eddie Murphy,2.0254474
Memories of Me,Billy Crystal,0
Kabhi Khushi Kabhie Gham,Shah Rukh Khan,0
Waitress,Keri Russell,11.089715
The Day Silence Died,,0
The Comebacks,Carl Weathers,0.0
The Catered Affair,Bette Davis,0
June Bride,Bette Davis,0
Halloween with the New Addams Family,John Astin,0
Sydney White,Amanda Bynes,0.8254590909090909
Bloodfist 2050,Matt Mullins,0
Made of Honor,Patrick Dempsey,2.115042025
The Rocket from Calabuch,Edmund Gwenn,0
Without a Paddle,Seth Green,3.6647956842105263
The Proud Ones,Robert Ryan,0
Dr. T and the Women,Richard Gere,0.0
If You Were Young: Rage,Tetsuo Ishidate,0
Quantum of Solace,Daniel Craig,2.930453635
Onimasa: A Japanese Godfather,Tatsuya Nakadai,0
Bloody Territories,Akira Kobayashi,0
Private Benjamin,Goldie Hawn,0
Damien: Omen II,William Holden,3.899758088235294
Family,Amparo Muñoz,0
Omen III: The Final Conflict,Sam Neill,0
"C'est La Vie, Mon Cheri",Lau Ching-Wan,0
Abraham's Valley,Leonor Silveira,0
The Sheriff and the Satellite Kid,Bud Spencer,0
Byelorussian Station,Aleksey Glazyrin,0
The Tuxedo,Jackie Chan,0
Django,Franco Nero,0
Mrs Henderson Presents,Judi Dench,0
Network,Faye Dunaway,6.234178157894737
Wedding Bell Blues,Illeana Douglas,0
Saajan,Sanjay Dutt,0
Infernal Affairs,Andy Lau,0
Collaborator,Martin Donovan,0
Little Shop of Horrors,Rick Moranis,1.5499358
I Am a Nymphomaniac,Sandra Julien,0
Pete 'n' Tillie,Walter Matthau,0
The Orheim Company,Rolf Kristian Larsen,0.0
The Man Who Wasn't There,Billy Bob Thornton,0
The Club,J.H. Wyman,0
The Frighteners,Michael J. Fox,0.9786405333333333
Overboard,Goldie Hawn,14.209096673095724
The Yankles,Brian Wimmer,0
The Texas Chainsaw Massacre: The Beginning,Jordana Brewster,0.0
21 & Over,Miles Teller,3.6973593846153845
Lovers and Liars,Goldie Hawn,0
Basic,John Travolta,0.85585122
The Dragon Missile,Lo Lieh,0
Lucky Numbers,John Travolta,0.0
Cabaret,Liza Minnelli,0.0
Escape Plan,Sylvester Stallone,2.45830222
The Thing from Another World,Kenneth Tobey,0
Ça brûle,Camille Varenne,0
Robin and Marian,Sean Connery,0
The Invisible Man,Claude Rains,0.0
Escape Me Never,Errol Flynn,0
Private Worlds,Claudette Colbert,0
Kambakkht Ishq,Akshay Kumar,0.0
Ambush,Jackie Chan,0
The Abandoned,Anastasia Hille,0
Carmina or Blow Up,María León,0
Hothead,Patrick Dewaere,0
Gold of Rome,Gérard Blain,0
Bhoot,Ajay Devgn,0
The Party,Peter Sellers,0.0
Swimming,Lauren Ambrose,0
Harvest,Jeffrey DeMunn,0
Tell No One,François Cluzet,0
The One,Jet Li,1.4836734693877551
Loose in London,Leo Gorcey,0
Terkel in Trouble,Anders Matthesen,0
The Dolly Sisters,Betty Grable,0
Black House,Hwang Jung-min,0
Cockpit,Jonas Karlsson,0
Sky Fighters,Benoît Magimel,0.0
Golem,Marek Walczewski,0
The World's End,Simon Pegg,2.30446435
Empire of the Wolves,Jean Reno,0.49482775
The Bride Goes Wild,Van Johnson,0
Three Colors: Blue,Juliette Binoche,0
Dragon Hunters,Vincent Lindon,0.0
Call Me Bwana,Bob Hope,0
The Superwife,Veronica Ferres,0
Campus Rhythm,Gale Storm,0
Caroline?,Stephanie Zimbalist,0
A Man There Was,Victor Sjöström,0
Showgirls,Elizabeth Berkley,0.4522389777777778
A Dangerous Woman,Debra Winger,0
Logan's Run,Michael York,2.7777777777777777
King Ralph,John Goodman,0
"Gwen, the Book of Sand",Michel Robin,0
Staying Alive,John Travolta,2.949666818181818
Hallelujah I'm a Bum,Al Jolson,0
City Limits,John Stockwell,0
In & Out,Kevin Kline,0.0
Atomic War Bride,Antun Vrdoljak,0
Dr. Dolittle 2,Eddie Murphy,2.515776342857143
The Debutantes,Néstor Cantillana,0
Rosario Tijeras,Flora Martínez,0
Rise of the Animals,Greg Hoople,0.0
The Love Trap,Laura La Plante,0
Glue,Nahuel Pérez Biscayart,0
Daniel Tosh: Completely Serious,Daniel Tosh,0
Demetri Martin. Person.,Demetri Martin,0
The Seed of Man,Marco Margine,0
Water Lilies,Pauline Acquart,0
The Beast of Hollow Mountain,Guy Madison,0
The Wedding,Robert Wabich,0
The Doctor Takes a Wife,Loretta Young,0
Double Teamed,Poppi Monroe,0
Kid Millions,Eddie Cantor,0
120,Cansel Elçin,0
King of Jazz,Paul Whiteman,0
Savage Grace,Julianne Moore,0.0
Star Spangled Rhythm,Bing Crosby,0
Tin Pan Alley,Alice Faye,0
Whoopee!,Eddie Cantor,0
The Face on the Milk Carton,Kellie Martin,0
A Fare to Remember,Malcolm-Jamal Warner,0
Children of the Corn,Peter Horton,17.5
The Mating Season,Gene Tierney,0
Finding a Family,Kim Delaney,0
Candyman: Farewell to the Flesh,Tony Todd,0
Next of Kin,Patrick Tierney,0
Forty Little Mothers,Eddie Cantor,0
Girl Fight,Anne Heche,0
Good Sam,Gary Cooper,0
The Love She Sought,Angela Lansbury,0
The Lone Ranger,Clayton Moore,0
The Lone Ranger and the Lost City of Gold,Clayton Moore,0
Murder on Flight 502,Ralph Bellamy,0
Tremors 3: Back to Perfection,Michael Gross,0
Matilda,Mara Wilson,0.9294282222222222
Portraits in a Sea of Lies,Paola Baldion,0
The Draughtsman's Contract,Anthony Higgins,0
Native Son,Victor Love,0.6505605
The Alarmist,David Arquette,0
Them,Olivia Bonamy,0
Tracks,Dennis Hopper,0
Heartbreakers,Sigourney Weaver,0.0
The Good Herbs,Úrsula Pruneda,0
Kings of the Road,Rüdiger Vogler,0
The Command,Guy Madison,0
Dreaming of Joseph Lees,Rupert Graves,3.5e-06
A Woman Rebels,Katharine Hepburn,0
The Killer,Chow Yun-fat,0
How to Commit Marriage,Bob Hope,0
Dagon,Ezra Godden,0.0
The Proprietor,Jeanne Moreau,0
DuckTales: The Movie - Treasure of the Lost Lamp,Alan Young,0
Cross of Iron,James Coburn,0.0
Stranger in My House,Lindsay Crouse,0
On Your Mark,,0
Star Maps,Douglas Spain,0
Breakthrough,Richard Burton,0
Empire,Andy Warhol,0
Strange Circus,Rie Kuwana,0
After Hours,Griffin Dunne,2.357626888888889
Sherlock Holmes and the Leading Lady,Christopher Lee,0
Tre colonne in cronaca,Gian Maria Volonté,0
Out of the Blue,Karl Urban,0
2001 Maniacs,Robert Englund,0.0
The Tiger and the Snow,Roberto Benigni,0.0
Lord of the Flies,Balthazar Getty,0
Trashed,Jeremy Irons,0
The Purple Rose of Cairo,Mia Farrow,0.7087555333333333
Autumn Tale,,0
Parole Violators,Sean P. Donahue,0
Revolver,Jason Statham,0
Three Resurrected Drunkards,Kazuhiko Kato,0
Kung Fu Cult Master,Jet Li,0
Children of the Dark,Aoi Miyazaki,0
Roma bene,Nino Manfredi,0
Wicked Little Things,Lori Heuring,0
Bill W.,,0
Voyage to the Beginning of the World,Marcello Mastroianni,0
Naked Weapon,Anya,0
Sibling Rivalry,Kirstie Alley,0
Intacto,Leonardo Sbaraglia,0
Saint Joan,Jean Seberg,0
When the Wind Blows,Peggy Ashcroft,0
Svampe,,0
A Child in the Crowd,Jean François Cimino,0
Nixon,Anthony Hopkins,0.31094920454545455
Go Man Go,,0
A Bunny's Tale,Kirstie Alley,0
Stakeout,Richard Dreyfuss,0
Steel Magnolias,Sally Field,0
Maximum Risk,Jean-Claude Van Damme,2.06809932
The Seminarian,Mark Cirillo,0
Bounce,Ben Affleck,1.0508370285714286
Eye of the Needle,Donald Sutherland,0
The Show,John Gilbert,0
Typhoon Club,Youki Kudoh,0
Blue,Shin Hyun-joon,0
Blush,Laura Aris Alvarez,0
Blowfish,Vicci Pan,0
The Bride from Hades,,0
Atlantis: The Lost Empire,Michael J. Fox,1.5504477083333332
Joy Ride,Steve Zahn,1.5931668695652175
Isole,Asia Argento,0
The Master,Chen Kuan-Tai,0
The Adventures of Hajji Baba,John Derek,0
Malena,Monica Bellucci,0
Frank Capra's American Dream,Ron Howard,0
The Accused,Kelly McGillis,0
Cass Timberlane,Spencer Tracy,0
Herbie Rides Again,Helen Hayes,0
Lucky Luke and the Daltons,Eric Judor,0
Acla's Descent into Floristella,Francesco Cusimano,0
Switchback,Dennis Quaid,0.17519445945945947
I Remember,Lucas Valadares,0
In Cold Blood,Anthony Edwards,0
The Ref,Denis Leary,1.0399266363636364
Face-Off,Art Hindle,0.0
A Common Man,Ben Kingsley,0
Shadow of the Vampire,John Malkovich,1.034877125
Muppet Treasure Island,Tim Curry,0
The Fabulous Baker Boys,Jeff Bridges,0.0
Quills,Geoffrey Rush,0.5230278518518519
Life for Sale,Samuli Edelmann,0
Exit Wounds,Steven Seagal,1.59917198
Saving Silverman,Jason Biggs,0.8796167727272727
Out of Mind: The Stories of H.P. Lovecraft,,0
Hate Thy Neighbor,Spiros Focás,0
I Love Trouble,Nick Nolte,1.3766059333333334
Sharpe's Revenge,Sean Bean,0
The Haunted Castle,Kojiro Hongo,0
Whale Rider,Keisha Castle-Hughes,5.175
The Noah's Ark Principle,Richy Müller,0.0
Avalon,Małgorzata Foremniak,1.10326175
Until They Sail,Jean Simmons,0
Sleeping Beauty,Mary Costa,8.5
Night and Day,Guilaine Londez,0
Mirage,Vlado Jovanovski,0
Labyrinth,Dragan Nikolić,0
10 Questions for the Dalai Lama,The Dalai Lama,0
Our Vines Have Tender Grapes,Edward G. Robinson,0
The Winning Team,Doris Day,0
Shutter,Joshua Jackson,0
The Youngest Profession,Virginia Weidler,0
The Unknown Woman,Kseniya Rappoport,0.0
Toys in the Attic,Dean Martin,0
Louis Theroux: Extreme Love - Autism,Louis Theroux,0
Gloria,Gena Rowlands,0
Point Break,Patrick Swayze,3.48049825
Stripes,Bill Murray,8.53
Terry Pratchett: Choosing to Die,Terry Pratchett,0
Tremors 4: The Legend Begins,Michael Gross,0.0
Vito,Vito Russo,0
The Mysterious Lady,Greta Garbo,1.6350148367952522
Jim Gaffigan: Beyond the Pale,Jim Gaffigan,0
The Sleeping Car,Judie Aronson,0
May,Angela Bettis,0.300554
Insiang,Hilda Koronel,0
Pinocchio,Mel Blanc,32.42307692307692
Tin Men,Richard Dreyfuss,0
Winter People,Kurt Russell,0
The Little Rascals,Bug Hall,0
Helpless,Kim Min-hee,0
The Little Mermaid II: Return to the Sea,Jodi Benson,0
Green Dolphin Street,Lana Turner,0
Three Colors: White,Zbigniew Zamachowski,0
The Thirteenth Floor,Craig Bierko,1.1602555
Surveillance,Julia Ormond,0.3187122857142857
Shiva,Nagarjuna Akkineni,0
Escape,Norma Shearer,0
Back Street,Charles Boyer,0
Athena,Jane Powell,0
Rough Shoot,Joel McCrea,0
Mohra,Naseeruddin Shah,0
Transistor Love Story,Supakorn Kitsuwon,0
The Man with One Red Shoe,Tom Hanks,0
Pet Sematary II,Edward Furlong,2.136556625
The Adventures of Robin Hood,Errol Flynn,1.958189867191343
Day of the Reaper,Cathy O'Hanlon,0
Inferno,Jean-Claude Van Damme,0.0
Fist of the North Star: Legend of Raoh - Chapter of Death in Love,Hiroshi Abe,0
The Shaolin Avengers,Alexander Fu Sheng,0
Kalifornia,Brad Pitt,0.2661367777777778
The Counselor,Michael Fassbender,2.84037336
Teen-Age Strangler,Bill Bloom,0
Passion,Rachel McAdams,0.0
The Thing,Kurt Russell,1.3086506666666666
Moulin Rouge,José Ferrer,0.0
Picture Mommy Dead,Don Ameche,0
Horror Island,Dick Foran,0
The Guns of Navarone,Gregory Peck,4.816666666666666
All Quiet on the Western Front,Richard Thomas,0
Night of the Blood Beast,John Baer,0
Dear Wendy,Jamie Bell,0
The Cabinet of Caligari,Glynis Johns,0
"A Genius, Two Friends, and an Idiot",Terence Hill,0
Babylon 5: A Call to Arms,Bruce Boxleitner,0
The Squeeze,Michael Keaton,0
Too Young to Die?,Juliette Lewis,0
The Facts of Life Reunion,Charlotte Rae,0
Silent Predators,Harry Hamlin,0
Summer of the Monkeys,Michael Ontkean,0
The Jungle Book: Mowgli's Story,Clancy Brown,0
Undertaking Betty,Brenda Blethyn,0
The Third Man,Joseph Cotten,0
Babylon 5: The River of Souls,Jerry Doyle,0
The Zero Boys,Daniel Hirsch,0
The Human Stain,Anthony Hopkins,0.0
Agent Cody Banks,Frankie Muniz,2.0998505
The Kid from Brooklyn,Danny Kaye,0
The Return of the Living Dead,Clu Gulager,3.55925
The Promise,Kathleen Quinlan,0
Bright Victory,Arthur Kennedy,0
Blume In Love,George Segal,0
Journey to Portugal,Jorge Barros,0
On Air,Karin Viard,0
Tiger Shark,Edward G. Robinson,0
This Is Elvis,Elvis Presley,0.4057224
Hearts and Armour,Zeudi Araya Cristaldi,0
Willard,Crispin Glover,0.0
The Big Bad Wolf,Mary Moder,0.0
Elevator to the Gallows,Jeanne Moreau,0
The Flower of Evil,Benoît Magimel,0
Music Land,,0.0
Who Killed Cock Robin?,Billy Bletcher,0.0
X-Games The Movie,Shaun White,0
Three Little Wolves,Billy Bletcher,0
Under the Tuscan Sun,Diane Lane,3.271040166666667
Heaven's Gate,Kris Kristofferson,0.07918934090909091
The Kopeck,Andrey Krasko,0
Guernica,María Casares,0
Barfly,Mickey Rourke,1.073856
The Peach Thief,Nevena Kokanova,0
Beautiful Thing,Linda Henry,0
…And the Fifth Horseman Is Fear,Olga Scheinpflugová,0
The Return of the Tall Blond Man with One Black Shoe,Pierre Richard,0
The We and the I,Michael Brodie,0
Our Trip to Africa,,0
Babylon 5: In the Beginning,Bruce Boxleitner,0
8,Kevin Bacon,0
Nocturne,Yvette,0
Babylon 5: Thirdspace,Bruce Boxleitner,0
42,Chadwick Boseman,2.375505325
This Is the End,James Franco,3.9387913125
30 Beats,Ingeborga Dapkunaite,0
Battle of the Year,Josh Holloway,0.82747385
Grown Ups 2,Adam Sandler,3.087303475
Babylon 5: The Gathering,Michael O’Hare,0
Side Effects,Jude Law,2.1124252333333335
Captain Phillips,Tom Hanks,1.7272727272727273
Blood Games,Gregory Scott Cummins,0
Evil Dead,Jane Levy,5.737820705882353
The Gathering,Christina Ricci,0
Identity Thief,Jason Bateman,4.970428857142857
Street Scene,Sylvia Sidney,0.0
The Hangover Part III,Bradley Cooper,3.514563805825243
In the Cut,Meg Ryan,1.916666666666667e-06
Don't Go Near the Water,Glenn Ford,0
Anchorman 2: The Legend Continues,Will Ferrell,3.4729803
Frozen,Kristen Bell,8.494793393333333
Jumpin' Jack Flash,Whoopi Goldberg,0
Cloudy with a Chance of Meatballs 2,Bill Hader,3.184418217948718
Mothers and Daughters,Christina Ricci,0
Little Girl,Patrizia Gerardi,0
Coffin Full of Dollars,Jeff Cameron,0
A Necessary Death,G.J. Echternkamp,0
Earth,Patrick Stewart,7.266666666666667
The Colour Out of Space,Marco Leibnitz,0
Urban Menace,Snoop Dogg,0
High School Musical,Zac Efron,0.0
The Girl,Konkona Sen Sharma,0
Ironclads,Virginia Madsen,0
Brutal Relax,José María Angorrilla,0
Power 98,Eric Roberts,0
Buddy Boy,Emmanuelle Seigner,0
The Fox and the Hound,Mickey Rooney,2.4833333333333334
Irene,Anna Neagle,0
Oliver Twist,John Howard Davies,0
Beautiful Creatures,Alden Ehrenreich,1.0008689666666666
I Am Sam,Sean Penn,4.206473545454545
Dawn Rider,Donald Sutherland,0
Gorgeous,Jackie Chan,0
Hit & Run,Kristen Bell,7.2
Me Shivajiraje Bhosale Boltoy,Makarand Anaspure,0
Something's Gonna Live,Robert F. Boyle,0
New Jack City,Wesley Snipes,5.602853294117647
After Porn Ends,Mary Carey,0.0
Purgatory,Aleksandr Baranov,0
The Sun Shines Bright,Charles Winninger,0
Farinelli,Stefano Dionisi,0
Ripley's Game,John Malkovich,0.0
Suicide Manual,Chisato Morishita,0
Joe Dirt,David Spade,1.750717231638418
New York Cop,Toru Nakamura,0
Catacombs,Tim Van Patten,0
The Black Cauldron,Grant Bardsley,0.85154768
Lupin the Third: Episode 0: First Contact,Kanichi Kurita,0
Flight 93,Jeffrey Nordling,0
Mission to Lars,Lars Ulrich,0
Broken,Tim Roth,0
The Red Colored Grey Truck,Srđan Todorović,0
Project: ALF,Miguel Ferrer,0
Shakespeare Wallah,Shashi Kapoor,0
Behind the Mask: The Rise of Leslie Vernon,Nathan Baesel,0
Blindside,Harvey Keitel,0
Losing Chase,Helen Mirren,0
Carmen,Geraldine Farrar,0.0
Once Upon a Spy,Ted Danson,0
David and Lisa,Keir Dullea,0.0
The Tenth Man,Anthony Hopkins,0
Maskeli Beşler İntikam Peşinde,Sümer Tilmaç,0
I Want You,Mario Casas,0
En fuera de juego,Fernando Tejero,0
Cocaine Unwrapped,,0
Silent Movie,Mel Brooks,0
A Night to Remember,Kenneth More,0.0
I Am the Law,Edward G. Robinson,0
A Dispatch from Reuter's,Edward G. Robinson,0
Session 9,Peter Mullan,0.24931133333333333
The Canyons,Lindsay Lohan,0.2273
Creature from the Black Lagoon,Richard Carlson,0
Armour of God,Jackie Chan,0.0
Armour of God II: Operation Condor,Jackie Chan,0
Chasing Leprechauns,Adrian Pasdar,0
We'll Live Till Monday,Vyacheslav Tikhonov,0
The Best Man's Wedding,Fares Fares,0
Nancy Drew,Maggie Lawson,0
Crime and Punishment,Crispin Glover,0
Nothing,David Hewlett,0
Hoodwinked!,Anne Hathaway,3.4035858
Vazhakku Enn 18/9,Sri,0
Valentine,Denise Richards,0
Supernatural,Carole Lombard,0
Ill Manors,Riz Ahmed,0.0
The New Guy,DJ Qualls,0.0
The Taming of the Scoundrel,Adriano Celentano,0
The Novelist,Kai Lehtinen,0.0
Halloween: The Curse of Michael Myers,Donald Pleasence,3.0233268
Diabolique,Sharon Stone,0
Love Letters,Jennifer Jones,0
Man's Castle,Spencer Tracy,0
My Foolish Heart,Dana Andrews,0
101 Reykjavik,Victoria Abril,0
Our Modern Maidens,Joan Crawford,0
Hide Away,Josh Lucas,0
Mulholland Falls,Nick Nolte,0
Hate Story,Paoli Dam,0
Pokémon: Spell of the Unknown,Veronica Taylor,4.2757046875
Pokémon: Spell of the Unknown,Veronica Taylor,4.2757046875
Pokémon: Spell of the Unknown,Veronica Taylor,4.2757046875
Pokémon: Spell of the Unknown,Veronica Taylor,4.2757046875
The Little Kidnappers,Charlton Heston,0
California Conquest,Cornel Wilde,0
Cats & Dogs,Jeff Goldblum,1.5562525166666668
My Gal Sal,Rita Hayworth,0
White Oleander,Alison Lohman,0
The Lover,Jane March,0
Stuart Little 2,Michael J. Fox,1.4163067166666667
Rich and Famous,Jacqueline Bisset,0
Rich and Famous,Jacqueline Bisset,0
Rich and Famous,Jacqueline Bisset,0
Rich and Famous,Jacqueline Bisset,0
Farewell My Concubine,Leslie Cheung,0
Three Comrades,Robert Taylor,0
18 Years Later,Edoardo Leo,0
Fatal Attraction,Michael Douglas,22.8675495
Commando,Arnold Schwarzenegger,5.75
Quiet Flows the Don,Pyotr Glebov,0
Star Wars,Mark Hamill,70.49072790909091
Three Colors: Red,Irène Jacob,0
The Birdcage,Robin Williams,5.976146870967742
Escape from Segovia,Xabier Elorriaga,0
Blue Streak,Martin Lawrence,1.8116692307692308
"Greystoke: The Legend of Tarzan, Lord of the Apes",Christopher Lambert,0
Oh Olsun,Tarık Akan,0
The Wedding Singer,Adam Sandler,6.850388166666667
Wonder Boys,Michael Douglas,0.0
Salako,Kemal Sunal,0
Awakenings,Robert De Niro,0
Smokey and the Bandit,Burt Reynolds,0
Cheaper by the Dozen,Steve Martin,4.755302825
Rabbit,,0
Major Payne,Damon Wayans,0
Saturday Night Fever,John Travolta,67.746624
The Postman,Philippe Noiret,0
Ri¢hie Ri¢h,Macaulay Culkin,0.0
Nitro Circus: The Movie,Jolene Van Vugt,0
My Ain Folk,Stephen Archibald,0
Damage,Jeremy Irons,0
Astronaut: The Last Push,Khary Payton,0
Incredible Rocky Mountain Race,Christopher Connelly,0
Secretary,James Spader,2.32615225
Hologram Man,Joe Lara,0
The Man of Gold,András Csorba,0
Westbound,Randolph Scott,0
The Sapphires,Chris O'Dowd,0
The 10th Kingdom,Kimberly Williams-Paisley,0
Jesse Stone: Benefit of the Doubt,Tom Selleck,0
The Relic,Penelope Ann Miller,0.5659434666666666
Key Largo,Humphrey Bogart,0
Laurence Anyways,Melvil Poupaud,0.0012894736842105263
Billy Madison,Adam Sandler,2.6488734
Year of the Dragon,Mickey Rourke,0.77947775
Deep Blue,Michael Gambon,0
Picnic at Hanging Rock,Rachel Roberts,0
The Killing Game,Laura Prepon,0
Narc,Jason Patric,1.9436533846153845
The Borrowers,Eddie Albert,0
Thirteen,Evan Rachel Wood,2.3005215
Scooby-Doo 2: Monsters Unleashed,Freddie Prinze Jr.,0
New York Minute,Ashley Olsen,0
La Bohème,Lillian Gish,0
Exorcist: The Beginning,Stellan Skarsgård,0.975007325
Samson and the Slave Queen,Pierre Brice,0
The Seven Magnificent Gladiators,Lou Ferrigno,0
The Postman Always Rings Twice,Jack Nicholson,0.0
Cheerful Weather for the Wedding,Felicity Jones,0
The Big Easy,Dennis Quaid,0
A Way of Life,,0
Minbo: the Gentle Art of Japanese Extortion,Nobuko Miyamoto,0
Angel Baby,George Hamilton,0
Escape from New York,Kurt Russell,8.374116666666668
Zelig,Woody Allen,0
This Is Spinal Tap,Christopher Guest,1.8944808
Thérèse,Audrey Tautou,0
Dressed to Kill,Michael Caine,4.907538461538461
Blood of Dracula,Susan Harrison,0
The Great Gatsby,Robert Redford,4.082030769230769
Roma,Peter Gonzales Falcon,0
Thérèse: The Story of Saint Thérèse of Lisieux,Leonardo Defilippis,0
Side by Side,Keanu Reeves,0
The Notebook,Rachel McAdams,3.98631824137931
Iron Eagle,"Louis Gossett, Jr.",0
Descendents,Karina Pizarro,0
Tough Guys,Burt Lancaster,0
Today,Saul Williams,0
Why Did You Pick On Me?,Bud Spencer,0
A Pigeon Sat on a Branch Reflecting on Existence,Holger Andersson,0
Rhino Season,Behrouz Vossoughi,0
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,Graham Chapman,0
White Elephant,Ricardo Darín,0
Freddie as F.R.O.7.,Ben Kingsley,0
No,Gael García Bernal,0
Little Big Man,Dustin Hoffman,2.103970133333333
Hard to Be a God,Leonid Yarmolnik,0.187239
The Beverly Hillbillies,Jim Varney,0
Drug War,Louis Koo,0
Symptoms,Angela Pleasence,0
Snowpiercer,Chris Evans,2.2132375510204083
Song of the Sea,Brendan Gleeson,0
"Unman, Wittering and Zigo",David Hemmings,0
The Barbarian Invasions,Rémy Girard,0.42904275
Wolf Children,Aoi Miyazaki,0
Camille Claudel 1915,Juliette Binoche,0.03298548536151648
Camille Claudel 1915,Juliette Binoche,0.03298548536151648
Camille Claudel 1915,Juliette Binoche,0.03298548536151648
Camille Claudel 1915,Juliette Binoche,0.03298548536151648
Mrs. Santa Claus,Angela Lansbury,0
Arizona Dream,Johnny Depp,0.0
Dormant Beauty,Isabelle Huppert,0.0
Taxi,Queen Latifah,1.46439864
Windbag the Sailor,Will Hay,0
Where Eagles Dare,Richard Burton,2.727272727272727
Kim,Errol Flynn,0
Boys Will Be Boys,Will Hay,0
Asterix the Gaul,Roger Carel,0
Smashing Time,Rita Tushingham,0
The Knock Out Cop,Bud Spencer,0
Perfect Harmony,Peter Scolari,0
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,Romanthony,0
Rags,Keke Palmer,0
The Manzanar Fishing Club,Scott Sutton,0
Terms of Endearment,Shirley MacLaine,0.0
Seven and a Half,Branislav Trifunović,0
The Private War of Major Benson,Charlton Heston,0
The Last Temptation of Christ,Willem Dafoe,1.1962264285714286
Girls Town,Lili Taylor,0
Yu-Gi-Oh! The Movie,,1.4585205
Four Sons,Don Ameche,0
Flatfoot in Hong Kong,Bud Spencer,0
It Takes Two,George Newbern,0
Hairspray,Sonny Bono,0
The Age of Innocence,Irene Dunne,0
Deadly Surveillance,Michael Ironside,0
Hannibal Buress: Animal Furnace,Hannibal Buress,0
Flatfoot in Africa,Bud Spencer,0
The Protector 2,Tony Jaa,0
Austin High,Michael S. Wilson,0
Street Days,Zura Begalishvili,0
Darkness,Anna Paquin,0
Island of Love,Robert Preston,0
Die weisse Rose,Lena Stolze,0
The Woman Who Dared,Madeleine Renaud,0
Godsend,Greg Kinnear,1.20457948
Gingerdead Man 3: Saturday Night Cleaver,Jacqui Holland,0
House of the Dead,Jonathan Cherry,1.974025857142857
Moment by Moment,Lily Tomlin,0
Internal Affairs,Richard Gere,0
The Three Musketeers,Don Ameche,0
The Enemy,Aleksandar Stojković,0.0
City Hall,Al Pacino,0
Rescue Me,Michael Dudikoff,0
This Above All,Tyrone Power,0
Brewster's Millions,Richard Pryor,2.2916566
Mass Appeal,Jack Lemmon,0
O,Mekhi Phifer,0
Outer Space,Barbara Hershey,0
Boomerang,Eddie Murphy,1.7525
Condo Painting,Patrick Achdjian,0
Wabash Avenue,Betty Grable,0.9640661938534278
Major League II,Charlie Sheen,0
No Down Payment,Joanne Woodward,0
Apache Territory,Rory Calhoun,0
Singles,Bridget Fonda,0
Tremors 2: Aftershocks,Fred Ward,0.0
No More Excuses,Robert Downey Sr.,0
Moonlight Tariff,Gruschenka Stevens,0
Them!,James Whitmore,0.0
Max,Jacques Vermeire,0
Blazing Saddles,Cleavon Little,45.96153846153846
By the Bluest of Seas,Alexei Dolinin,0
Striking Distance,Bruce Willis,0.0
History of Postwar Japan as Told by a Bar Hostess,Rikiya Yasuoka,0
Audition,Ryo Ishibashi,0
Fly Away Home,Jeff Daniels,0
Stille Nacht I,,0
Container,Jena Malone,0
Problem Child,John Ritter,0
The Store,,0
Urban Warriors,Bruno Bilotta,0
National Security,Martin Lawrence,0
"Murder, He Says",Fred MacMurray,0
Taking Lives,Angelina Jolie,1.4549006444444443
The Seventh Sign,Demi Moore,0
A Fine Pair,Rock Hudson,0
Kitchen Stories,Joachim Calmeyer,0
American Kickboxer,John Barrett,0
The Garden,Tilda Swinton,0
Flodder 3,Nelly Frijda,0
Mutiny on the Bounty,Trevor Howard,0.72
The Majestic,Jim Carrey,0.5182994166666667
The Hand that Rocks the Cradle,Annabella Sciorra,7.52450282051282
Heist,Gene Hackman,0.0
A Girl in Every Port,Victor McLaglen,0
Black Box BRD,Traudl Herrhausen,0
Apricot,Laura Gordon,0
Zigeunerweisen,Yoshio Harada,0
The Animal,Rob Schneider,3.8533064545454545
Heat-Haze Theatre,Yûsaku Matsuda,0
Yumeji,Kenji Sawada,0
Things I Never Told You,Lili Taylor,0
Riding in Cars with Boys,Drew Barrymore,0.74465225
Circles,Vuk Kostić,0.0
Presumed Innocent,Harrison Ford,10.059235818181818
The Little Apartment,José Luis López Vázquez,0
House of Sand and Fog,Jennifer Connelly,1.0268360606060607
Unlawful Killing,,0
Hide and Seek,Robert De Niro,4.9057928
Heat Wave,Adèle Haenel,0
Pie in the Sky,Josh Charles,0
The Mad Monster,George Zucco,0
Spooky House,Ben Kingsley,0
The Final Cut,Robin Williams,0
Summer of '62,Ali Hamada,0
Scarface,Al Pacino,2.63538812
Stalingrad,Dominique Horwitz,0
Dead Silent,Rob Lowe,0
Return to Peyton Place,Carol Lynley,0
Fame High,,0
Romanoff and Juliet,Peter Ustinov,0
Head Above Water,Harvey Keitel,0
Say One for Me,Bing Crosby,0
The Second Time Around,Debbie Reynolds,0
Chungking Express,Brigitte Lin,0
The Shocking Miss Pilgrim,Betty Grable,0
Springfield Rifle,Gary Cooper,0
Eddie,Whoopi Goldberg,0
