title,cast,return
This is What Love in Action Looks Like,,0
No Way Out,Kevin Costner,2.367301
Radiostars,Manu Payet,0
Unrest,Joshua Alba,0
Man Bites Dog,Benoît Poelvoorde,0
Man to Man,Joseph Fiennes,0
Closed Circuit,Tony Kendall,0
Evil Bong,David Weidoff,0
The Mayor of Hell,James Cagney,0.0
North Sea Texas,Jelle Florizoone,0
Reno 911!: Miami,Lennie Loftin,2.0342161
Tender Comrade,Ginger Rogers,0
Crows and Sparrows,,0
Cry_Wolf,Julian Morris,10.047674
Way of Blue Sky,Mikako Tabe,0
The Return,Adam Scott,0.7994676
Gone,Scott Mechlowicz,0
13 Going on 30,Jennifer Garner,2.6069107297297296
The Tiger's Tail,Brendan Gleeson,0
Deadline,Helena Bergström,0
Just Looking,Gretchen Mol,0.0
The Kid,Charlie Chaplin,10.0
Leon: The Professional,Jean Reno,2.830310875
Liverpool,Juan Fernández,0
La Grande Bouffe,Marcello Mastroianni,0
I Love Hong Kong 2012,Stanley Fung,0
The Alley Tramp,Julia Ames,0
Windstruck,Jang Hyuk,0
The Golden Blade,Rock Hudson,0
Saints and Soldiers,Larry Bagby,0.0
The Millionaire Tour,Dominic Monaghan,0
Firehouse Dog,Josh Hutcherson,0
The White Dragon,Cecilia Cheung,0
Empire of the Sun,Christian Bale,0.6353913142857143
Confetti,Martin Freeman,0
The Aristocats,Phil Harris,13.91881425
Beijing Taxi,,0
Class of '61,Clive Owen,0
A Connecticut Yankee in King Arthur's Court,Keshia Knight Pulliam,0
Stick It,Jeff Bridges,0
Shinobi: Heart Under Blade,Yukie Nakama,0
Action Jackson,Carl Weathers,2.8938535714285716
Coriolanus,Gerard Butler,0.13929896103896103
The Butterfly Room,Barbara Steele,0
Truth or Dare,Liam Boyle,0
Material Girls,Hilary Duff,0
The Third Lover,Jacques Charrier,0
The Far Pavilions,Ben Cross,0
The Color of Milk,Julia Krohn,0
Gangsters and Philantropists,Gustaw Holoubek,0
Blonde and Blonder,Pamela Anderson,0
Action in Arabia,George Sanders,0
Hanzo,Kemal Sunal,0
Flight of the Navigator,Joey Cramer,0
Dear Heart,Geraldine Page,0
1-900,Ad van Kempen,0
Gente Di Rispetto,Jennifer O'Neill,0
Heartstopper,Nathan Stephenson,0.0
Love Simple,Francisco Solorzano,0
Fine Dead Girls,Krešimir Mikić,0
Colors,Sean Penn,7.7693445
Katy Perry: Part of Me,Katy Perry,2.7272463333333334
Critters 2,Scott Grimes,0.8473984444444445
Alien Nation,James Caan,2.0096904375
Bachelor Flat,Tuesday Weld,0
Ten North Frederick,Gary Cooper,0
"See Here, Private Hargrove",Robert Walker,0
Herbstmilch,Dana Vávrová,0
Skinheads,Chuck Connors,0
"Tomorrow, the World!",Fredric March,0
The Hunger Games: Catching Fire,Jennifer Lawrence,6.518641938461538
Gorillas in the Mist,Sigourney Weaver,0.0
Rage,George C. Scott,0
Ride Beyond Vengeance,Chuck Connors,0
A Nightmare on Elm Street 4: The Dream Master,Robert Englund,10.357142857142858
Talk Radio,Eric Bogosian,0.867143
The Spiral Staircase,Nicollette Sheridan,0
The Forger,Lauren Bacall,0
Cypher,Jeremy Northam,0.0
Light Years Away,Trevor Howard,0
Crane World,,0
Cyborg,Jean-Claude Van Damme,20.332918
The Spousals of God,Rita Durão,0
Road House,Patrick Swayze,2.0033352
L'Antisémite,Dieudonné M'bala M'bala,0.0
The Golden Child,Eddie Murphy,3.19271756
A Cure for Love,Kalina Jędrusik,0
The Wonderful Ice Cream Suit,Edward James Olmos,0
Stuart Little,Michael J. Fox,2.256656894736842
The Queen and I,Farah Pahlavi,0
Iron Man 2,Robert Downey Jr.,3.119666655
Utamaro and His Five Women,Minosuke Bandô,0
With Byrd at the South Pole,Floyd Gibbons,0
Milk,Sean Penn,2.7293292
The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes,2.6818465612903224
Dirty Rotten Scoundrels,Steve Martin,0
Casualties of War,Michael J. Fox,0.8298363111111111
Burden of Evil,Natalie Zea,0
The Reincarnation of Peter Proud,Michael Sarrazin,0
The Little Mermaid,Jodi Benson,5.5575
The Hunters of the Golden Cobra,David Warbeck,0
Jim Gaffigan: Mr. Universe,Jim Gaffigan,0
The Forgotten,Julianne Moore,2.799419904761905
Men...,Heiner Lauterbach,0
Bad Santa,Billy Bob Thornton,3.3256038695652173
Lonesome,Barbara Kent,0
Smoke,Harvey Keitel,1.1927757142857143
The Last Unicorn,Alan Arkin,0
The Afflicted,Leslie Easterbrook,0.9763444444444445
Ali Baba Bunny,Mel Blanc,0
Snow White,Stefan Gubser,0
Quints,Kimberly J. Brown,0
A Fantastic Fear of Everything,Simon Pegg,0
Dumb and Dumberer: When Harry Met Lloyd,Mimi Rogers,2.066711315789474
Reel Injun,Adam Beach,0
Sphere,Dustin Hoffman,0.17466666666666666
The Gnomes' Great Adventure,Christopher Plummer,0
Mickey Blue Eyes,Hugh Grant,0
U Turn,Sean Penn,0.35168936842105264
Yankee,Adolfo Celi,0
Westward the Women,Robert Taylor,0
